date,total_purchases
2023-03-06,40
2023-03-07,31
2023-03-08,48
2023-03-09,43
2023-03-10,45
2023-03-11,47
2023-03-12,42
2023-03-13,53
2023-03-14,50
2023-03-15,46
2023-03-16,46
2023-03-17,36
2023-03-18,32
2023-03-19,51
2023-03-20,42
2023-03-21,39
2023-03-22,49
2023-03-23,51
2023-03-24,39
2023-03-25,51
2023-03-26,49
2023-03-27,51
2023-03-28,40
2023-03-29,46
2023-03-30,48
2023-03-31,47
2023-04-01,47
2023-04-02,45
2023-04-03,45
2023-04-04,54
2023-04-05,46
2023-04-06,51
2023-04-07,47
2023-04-08,54
2023-04-09,46
2023-04-10,47
2023-04-11,44
2023-04-12,52
2023-04-13,46
2023-04-14,41
2023-04-15,55
2023-04-16,38
2023-04-17,46
2023-04-18,38
2023-04-19,54
2023-04-20,45
2023-04-21,38
2023-04-22,51
2023-04-23,40
2023-04-24,51
2023-04-25,37
2023-04-26,51
2023-04-27,49
2023-04-28,45
2023-04-29,39
2023-04-30,43
2023-05-01,49
2023-05-02,48
2023-05-03,47
2023-05-04,37
2023-05-05,49
2023-05-06,47
2023-05-07,45
2023-05-08,46
2023-05-09,41
2023-05-10,36
2023-05-11,48
2023-05-12,51
2023-05-13,47
2023-05-14,68
2023-05-15,49
2023-05-16,46
2023-05-17,46
2023-05-18,47
2023-05-19,35
2023-05-20,42
2023-05-21,41
2023-05-22,40
2023-05-23,52
2023-05-24,36
2023-05-25,32
2023-05-26,38
2023-05-27,52
2023-05-28,59
2023-05-29,41
2023-05-30,45
2023-05-31,44
2023-06-01,36
2023-06-02,46
2023-06-03,42
2023-06-04,52
2023-06-05,46
2023-06-06,48
2023-06-07,31
2023-06-08,44
2023-06-09,41
2023-06-10,34
2023-06-11,47
2023-06-12,46
2023-06-13,49
2023-06-14,50
2023-06-15,40
2023-06-16,47
2023-06-17,47
2023-06-18,38
2023-06-19,51
2023-06-20,42
2023-06-21,42
2023-06-22,57
2023-06-23,47
2023-06-24,62
2023-06-25,52
2023-06-26,43
2023-06-27,56
2023-06-28,48
2023-06-29,39
2023-06-30,42
2023-07-01,42
2023-07-02,41
2023-07-03,37
2023-07-04,44
2023-07-05,39
2023-07-06,43
2023-07-07,48
2023-07-08,36
2023-07-09,50
2023-07-10,43
2023-07-11,41
2023-07-12,45
2023-07-13,39
2023-07-14,44
2023-07-15,46
2023-07-16,52
2023-07-17,39
2023-07-18,48
2023-07-19,47
2023-07-20,47
2023-07-21,42
2023-07-22,40
2023-07-23,45
2023-07-24,42
2023-07-25,51
2023-07-26,46
2023-07-27,48
2023-07-28,53
2023-07-29,44
2023-07-30,58
2023-07-31,40
2023-08-01,50
2023-08-02,53
2023-08-03,35
2023-08-04,36
2023-08-05,39
2023-08-06,58
2023-08-07,53
2023-08-08,49
2023-08-09,44
2023-08-10,46
2023-08-11,40
2023-08-12,45
2023-08-13,39
2023-08-14,35
2023-08-15,48
2023-08-16,47
2023-08-17,42
2023-08-18,44
2023-08-19,45
2023-08-20,50
2023-08-21,50
2023-08-22,45
2023-08-23,51
2023-08-24,40
2023-08-25,37
2023-08-26,45
2023-08-27,39
2023-08-28,44
2023-08-29,54
2023-08-30,52
2023-08-31,42
2023-09-01,60
2023-09-02,43
2023-09-03,42
2023-09-04,55
2023-09-05,43
2023-09-06,42
2023-09-07,36
2023-09-08,48
2023-09-09,42
2023-09-10,55
2023-09-11,41
2023-09-12,46
2023-09-13,57
2023-09-14,50
2023-09-15,37
2023-09-16,53
2023-09-17,46
2023-09-18,49
2023-09-19,47
2023-09-20,47
2023-09-21,49
2023-09-22,48
2023-09-23,51
2023-09-24,47
2023-09-25,50
2023-09-26,41
2023-09-27,48
2023-09-28,55
2023-09-29,24
2023-09-30,52
2023-10-01,39
2023-10-02,46
2023-10-03,43
2023-10-04,45
2023-10-05,35
2023-10-06,58
2023-10-07,41
2023-10-08,46
2023-10-09,44
2023-10-10,44
2023-10-11,46
2023-10-12,47
2023-10-13,39
2023-10-14,43
2023-10-15,50
2023-10-16,37
2023-10-17,39
2023-10-18,51
2023-10-19,46
2023-10-20,48
2023-10-21,49
2023-10-22,44
2023-10-23,49
2023-10-24,55
2023-10-25,47
2023-10-26,50
2023-10-27,46
2023-10-28,47
2023-10-29,53
2023-10-30,52
2023-10-31,40
2023-11-01,45
2023-11-02,51
2023-11-03,56
2023-11-04,42
2023-11-05,40
2023-11-06,43
2023-11-07,38
2023-11-08,46
2023-11-09,49
2023-11-10,36
2023-11-11,44
2023-11-12,30
2023-11-13,37
2023-11-14,50
2023-11-15,41
2023-11-16,59
2023-11-17,49
2023-11-18,52
2023-11-19,60
2023-11-20,54
2023-11-21,55
2023-11-22,35
2023-11-23,47
2023-11-24,62
2023-11-25,36
2023-11-26,44
2023-11-27,52
2023-11-28,35
2023-11-29,43
2023-11-30,47
2023-12-01,37
2023-12-02,39
2023-12-03,41
2023-12-04,49
2023-12-05,49
2023-12-06,48
2023-12-07,59
2023-12-08,37
2023-12-09,52
2023-12-10,38
2023-12-11,46
2023-12-12,43
2023-12-13,51
2023-12-14,49
2023-12-15,55
2023-12-16,45
2023-12-17,43
2023-12-18,41
2023-12-19,48
2023-12-20,44
2023-12-21,48
2023-12-22,38
2023-12-23,33
2023-12-24,48
2023-12-25,49
2023-12-26,48
2023-12-27,46
2023-12-28,41
2023-12-29,39
2023-12-30,43
2023-12-31,46
2024-01-01,54
2024-01-02,46
2024-01-03,32
2024-01-04,47
2024-01-05,57
2024-01-06,47
2024-01-07,49
2024-01-08,45
2024-01-09,44
2024-01-10,41
2024-01-11,47
2024-01-12,52
2024-01-13,39
2024-01-14,51
2024-01-15,51
2024-01-16,56
2024-01-17,38
2024-01-18,58
2024-01-19,40
2024-01-20,53
2024-01-21,40
2024-01-22,39
2024-01-23,44
2024-01-24,52
2024-01-25,45
2024-01-26,42
2024-01-27,30
2024-01-28,36
2024-01-29,45
2024-01-30,39
2024-01-31,51
2024-02-01,45
2024-02-02,39
2024-02-03,56
2024-02-04,51
2024-02-05,53
2024-02-06,61
2024-02-07,36
2024-02-08,39
2024-02-09,49
2024-02-10,35
2024-02-11,54
2024-02-12,33
2024-02-13,34
2024-02-14,53
2024-02-15,39
2024-02-16,41
2024-02-17,39
2024-02-18,36
2024-02-19,43
2024-02-20,42
2024-02-21,40
2024-02-22,35
2024-02-23,41
2024-02-24,47
2024-02-25,52
2024-02-26,36
2024-02-27,37
2024-02-28,47
2024-02-29,39
2024-03-01,37
2024-03-02,40
2024-03-03,40
2024-03-04,50
2024-03-05,49
2024-03-06,54
2024-03-07,51
2024-03-08,36
2024-03-09,37
2024-03-10,45
2024-03-11,47
2024-03-12,50
2024-03-13,46
2024-03-14,56
2024-03-15,52
2024-03-16,47
2024-03-17,53
2024-03-18,43
2024-03-19,39
2024-03-20,42
2024-03-21,46
2024-03-22,41
2024-03-23,43
2024-03-24,52
2024-03-25,53
2024-03-26,41
2024-03-27,50
2024-03-28,48
2024-03-29,45
2024-03-30,58
2024-03-31,46
2024-04-01,31
2024-04-02,40
2024-04-03,39
2024-04-04,46
2024-04-05,50
2024-04-06,54
2024-04-07,32
2024-04-08,45
2024-04-09,44
2024-04-10,63
2024-04-11,41
2024-04-12,43
2024-04-13,43
2024-04-14,39
2024-04-15,63
2024-04-16,48
2024-04-17,39
2024-04-18,52
2024-04-19,39
2024-04-20,42
2024-04-21,41
2024-04-22,54
2024-04-23,46
2024-04-24,44
2024-04-25,45
2024-04-26,45
2024-04-27,31
2024-04-28,39
2024-04-29,46
2024-04-30,40
2024-05-01,38
2024-05-02,38
2024-05-03,42
2024-05-04,43
2024-05-05,41
2024-05-06,48
2024-05-07,39
2024-05-08,51
2024-05-09,48
2024-05-10,46
2024-05-11,44
2024-05-12,45
2024-05-13,56
2024-05-14,45
2024-05-15,50
2024-05-16,46
2024-05-17,46
2024-05-18,46
2024-05-19,41
2024-05-20,46
2024-05-21,45
2024-05-22,40
2024-05-23,42
2024-05-24,40
2024-05-25,43
2024-05-26,42
2024-05-27,46
2024-05-28,47
2024-05-29,60
2024-05-30,42
2024-05-31,57
2024-06-01,50
2024-06-02,33
2024-06-03,44
2024-06-04,45
2024-06-05,38
2024-06-06,43
2024-06-07,40
2024-06-08,49
2024-06-09,39
2024-06-10,42
2024-06-11,39
2024-06-12,43
2024-06-13,38
2024-06-14,44
2024-06-15,52
2024-06-16,53
2024-06-17,50
2024-06-18,46
2024-06-19,43
2024-06-20,30
2024-06-21,45
2024-06-22,40
2024-06-23,56
2024-06-24,58
2024-06-25,42
2024-06-26,57
2024-06-27,51
2024-06-28,35
2024-06-29,49
2024-06-30,50
2024-07-01,42
2024-07-02,44
2024-07-03,48
2024-07-04,48
2024-07-05,46
2024-07-06,51
2024-07-07,48
2024-07-08,56
2024-07-09,42
2024-07-10,38
2024-07-11,41
2024-07-12,43
2024-07-13,51
2024-07-14,56
2024-07-15,46
2024-07-16,49
2024-07-17,46
2024-07-18,48
2024-07-19,53
2024-07-20,52
2024-07-21,53
2024-07-22,56
2024-07-23,51
2024-07-24,46
2024-07-25,51
2024-07-26,36
2024-07-27,33
2024-07-28,43
2024-07-29,37
2024-07-30,49
2024-07-31,49
2024-08-01,47
2024-08-02,47
2024-08-03,40
2024-08-04,46
2024-08-05,50
2024-08-06,44
2024-08-07,48
2024-08-08,57
2024-08-09,43
2024-08-10,43
2024-08-11,42
2024-08-12,43
2024-08-13,40
2024-08-14,48
2024-08-15,44
2024-08-16,33
2024-08-17,53
2024-08-18,43
2024-08-19,45
2024-08-20,49
2024-08-21,48
2024-08-22,59
2024-08-23,55
2024-08-24,37
2024-08-25,40
2024-08-26,52
2024-08-27,42
2024-08-28,37
2024-08-29,62
2024-08-30,47
2024-08-31,46
2024-09-01,52
2024-09-02,57
2024-09-03,44
2024-09-04,45
2024-09-05,47
2024-09-06,49
2024-09-07,43
2024-09-08,59
2024-09-09,43
2024-09-10,56
2024-09-11,56
2024-09-12,50
2024-09-13,44
2024-09-14,44
2024-09-15,39
2024-09-16,34
2024-09-17,52
2024-09-18,35
2024-09-19,53
2024-09-20,53
2024-09-21,46
2024-09-22,34
2024-09-23,27
2024-09-24,50
2024-09-25,36
2024-09-26,39
2024-09-27,50
2024-09-28,37
2024-09-29,42
2024-09-30,40
2024-10-01,53
2024-10-02,58
2024-10-03,47
2024-10-04,47
2024-10-05,38
2024-10-06,48
2024-10-07,46
2024-10-08,45
2024-10-09,47
2024-10-10,31
2024-10-11,41
2024-10-12,55
2024-10-13,48
2024-10-14,44
2024-10-15,45
2024-10-16,41
2024-10-17,34
2024-10-18,54
2024-10-19,48
2024-10-20,40
2024-10-21,40
2024-10-22,47
2024-10-23,43
2024-10-24,36
2024-10-25,50
2024-10-26,57
2024-10-27,39
2024-10-28,40
2024-10-29,46
2024-10-30,54
2024-10-31,36
2024-11-01,49
2024-11-02,52
2024-11-03,50
2024-11-04,47
2024-11-05,40
2024-11-06,57
2024-11-07,42
2024-11-08,48
2024-11-09,51
2024-11-10,49
2024-11-11,43
2024-11-12,55
2024-11-13,45
2024-11-14,51
2024-11-15,37
2024-11-16,44
2024-11-17,51
2024-11-18,47
2024-11-19,60
2024-11-20,56
2024-11-21,41
2024-11-22,37
2024-11-23,38
2024-11-24,38
2024-11-25,57
2024-11-26,44
2024-11-27,36
2024-11-28,34
2024-11-29,51
2024-11-30,39
2024-12-01,55
2024-12-02,58
2024-12-03,40
2024-12-04,39
2024-12-05,35
2024-12-06,45
2024-12-07,42
2024-12-08,49
2024-12-09,34
2024-12-10,53
2024-12-11,45
2024-12-12,29
2024-12-13,34
2024-12-14,38
2024-12-15,49
2024-12-16,38
2024-12-17,40
2024-12-18,37
2024-12-19,57
2024-12-20,37
2024-12-21,43
2024-12-22,37
2024-12-23,50
2024-12-24,57
2024-12-25,35
2024-12-26,39
2024-12-27,42
2024-12-28,45
2024-12-29,42
2024-12-30,37
2024-12-31,42
2025-01-01,53
2025-01-02,47
2025-01-03,43
2025-01-04,52
2025-01-05,45
2025-01-06,41
2025-01-07,43
2025-01-08,35
2025-01-09,36
2025-01-10,38
2025-01-11,47
2025-01-12,48
2025-01-13,41
2025-01-14,43
2025-01-15,30
2025-01-16,44
2025-01-17,39
2025-01-18,42
2025-01-19,57
2025-01-20,53
2025-01-21,43
2025-01-22,38
2025-01-23,37
2025-01-24,44
2025-01-25,34
2025-01-26,38
2025-01-27,46
2025-01-28,56
2025-01-29,46
2025-01-30,52
2025-01-31,56
2025-02-01,46
2025-02-02,60
2025-02-03,51
2025-02-04,40
2025-02-05,51
2025-02-06,42
2025-02-07,35
2025-02-08,42
2025-02-09,29
2025-02-10,47
2025-02-11,43
2025-02-12,38
2025-02-13,42
2025-02-14,39
2025-02-15,48
2025-02-16,40
2025-02-17,59
2025-02-18,43
2025-02-19,49
2025-02-20,55
2025-02-21,43
2025-02-22,48
2025-02-23,47
2025-02-24,37
2025-02-25,51
2025-02-26,52
2025-02-27,47
2025-02-28,49
2025-03-01,44
2025-03-02,44
2025-03-03,48
2025-03-04,49
2025-03-05,40
2025-03-06,51
2025-03-07,36
2025-03-08,33
2025-03-09,52
2025-03-10,51
2025-03-11,44
2025-03-12,60
2025-03-13,40
2025-03-14,50
2025-03-15,49
2025-03-16,49
2025-03-17,47
2025-03-18,51
2025-03-19,55
2025-03-20,55
2025-03-21,52
2025-03-22,45
2025-03-23,42
2025-03-24,41
2025-03-25,33
2025-03-26,47
2025-03-27,52
2025-03-28,46
2025-03-29,52
2025-03-30,48
2025-03-31,36
2025-04-01,44
2025-04-02,39
2025-04-03,52
2025-04-04,42
2025-04-05,43
2025-04-06,52
2025-04-07,48
2025-04-08,45
2025-04-09,40
2025-04-10,52
2025-04-11,62
2025-04-12,57
2025-04-13,46
2025-04-14,54
2025-04-15,36
2025-04-16,43
2025-04-17,52
2025-04-18,50
2025-04-19,36
2025-04-20,59
2025-04-21,38
2025-04-22,54
2025-04-23,43
2025-04-24,45
2025-04-25,53
2025-04-26,49
2025-04-27,42
2025-04-28,50
2025-04-29,51
2025-04-30,47
2025-05-01,53
2025-05-02,56
2025-05-03,42
2025-05-04,33
2025-05-05,39
2025-05-06,31
2025-05-07,50
2025-05-08,61
2025-05-09,60
2025-05-10,42
2025-05-11,51
2025-05-12,54
2025-05-13,49
2025-05-14,29
2025-05-15,41
2025-05-16,54
2025-05-17,47
2025-05-18,56
2025-05-19,52
2025-05-20,41
2025-05-21,51
2025-05-22,38
2025-05-23,51
2025-05-24,51
2025-05-25,50
2025-05-26,49
2025-05-27,45
2025-05-28,48
2025-05-29,47
2025-05-30,67
2025-05-31,50
2025-06-01,39
2025-06-02,44
2025-06-03,42
2025-06-04,49
2025-06-05,48
2025-06-06,46
2025-06-07,51
2025-06-08,54
2025-06-09,37
2025-06-10,47
2025-06-11,44
2025-06-12,42
2025-06-13,48
2025-06-14,37
2025-06-15,43
2025-06-16,40
2025-06-17,43
2025-06-18,41
2025-06-19,43
2025-06-20,51
2025-06-21,41
2025-06-22,40
2025-06-23,51
2025-06-24,53
2025-06-25,52
2025-06-26,57
2025-06-27,51
2025-06-28,51
2025-06-29,44
2025-06-30,39
2025-07-01,41
2025-07-02,46
2025-07-03,46
2025-07-04,43
2025-07-05,41
2025-07-06,47
2025-07-07,49
2025-07-08,44
2025-07-09,51
2025-07-10,59
2025-07-11,30
2025-07-12,44
2025-07-13,39
2025-07-14,55
2025-07-15,43
2025-07-16,63
2025-07-17,51
2025-07-18,45
2025-07-19,41
2025-07-20,57
2025-07-21,51
2025-07-22,34
2025-07-23,53
2025-07-24,50
2025-07-25,43
2025-07-26,43
2025-07-27,49
2025-07-28,50
2025-07-29,38
2025-07-30,45
2025-07-31,44
2025-08-01,49
2025-08-02,49
2025-08-03,43
2025-08-04,44
2025-08-05,46
2025-08-06,50
2025-08-07,56
2025-08-08,53
2025-08-09,43
2025-08-10,58
2025-08-11,58
2025-08-12,56
2025-08-13,37
2025-08-14,42
2025-08-15,48
2025-08-16,48
2025-08-17,53
2025-08-18,46
2025-08-19,44
2025-08-20,46
2025-08-21,47
2025-08-22,37
2025-08-23,49
2025-08-24,48
2025-08-25,45
2025-08-26,47
2025-08-27,41
2025-08-28,49
2025-08-29,54
2025-08-30,51
2025-08-31,58
2025-09-01,47
2025-09-02,42
2025-09-03,41
2025-09-04,51
2025-09-05,50
2025-09-06,45
2025-09-07,48
2025-09-08,36
2025-09-09,44
2025-09-10,58
2025-09-11,55
2025-09-12,29
2025-09-13,55
2025-09-14,42
2025-09-15,40
2025-09-16,43
2025-09-17,46
2025-09-18,52
2025-09-19,64
2025-09-20,43
2025-09-21,44
2025-09-22,44
2025-09-23,42
2025-09-24,43
2025-09-25,43
2025-09-26,37
2025-09-27,38
2025-09-28,38
2025-09-29,46
2025-10-15,63
2025-10-16,789
2025-10-17,465
2025-10-18,1
